t,e,c,v
1720808164959,m,d,Congruent triangles
1720808165133,p,l,JMK
1720808166327,m,d,Congruent triangles
1720808167055,p,l,LMK
1720808172033,c,pr-r,s1
1720808173678,c,pr-r,s2
1720808176046,c,pr-r,s3
1720808178336,m,mi,
1720808178356,ml,mi,
1720808178620,h,t,triangle.KLM
1720808178676,h,t,triangle.KLM
1720808178938,c,s,segment.KM
1720808179003,h,t,triangle.KLM
1720808179067,h,t,triangle.KLM
1720808179263,c,s,segment.KL
1720808179400,h,t,triangle.KLM
1720808179433,h,t,triangle.KLM
1720808179433,h,s,segment.KM
1720808179461,h,s,segment.KM
1720808179461,h,s,segment.JK
1720808179483,h,s,segment.JK
1720808179601,m,mi,
1720808180281,ml,mi,
1720808190033,p,l,LMK
1720808190686,p,l,JMK
1720808192049,c,pr-r,s4
1720808192755,m,d,Congruent lines
1720808192789,p,l,MK
1720808193701,m,d,Congruent lines
1720808193722,p,l,MK
1720808198213,c,pr,s5
1720808199249,m,mi,
1720808199464,ml,mi,
1720808199540,m,mi,
1720808199666,ml,mi,
1720808199874,p,l,LMK
1720808199993,m,d,Congruent triangles
1720808200006,p,l,JMK
1720808200722,m,d,Congruent triangles
1720808200736,p,l,LMK
1720808201194,p,l,LMK
1720808202048,m,d,Congruent triangles
1720808202063,p,l,JMK
1720808203008,m,d,Congruent triangles
1720808203021,p,l,LMK
1720808214022,h,s,segment.JM
1720808214043,h,s,segment.JM
1720808214044,h,t,triangle.JKM
1720808214079,h,t,triangle.JKM
1720808214079,h,s,segment.KM
1720808214099,h,s,segment.KM
1720808214100,h,t,triangle.KLM
1720808214162,h,t,triangle.KLM
1720808214162,h,s,segment.KL
1720808214196,h,s,segment.KL
1720808214418,h,s,segment.KL
1720808215307,c,s,segment.KL
1720808215481,h,t,triangle.KLM
1720808215606,h,t,triangle.KLM
1720808215607,h,s,segment.KM
1720808216078,c,s,segment.KM
1720808216329,h,t,triangle.KLM
1720808216398,h,t,triangle.KLM
1720808216755,c,s,segment.KL
1720808216802,h,t,triangle.KLM
1720808216961,h,t,triangle.KLM
1720808217026,h,t,triangle.JKM
1720808217245,h,t,triangle.JKM
1720808217578,c,s,segment.KM
1720808218009,h,t,triangle.JKM
1720808218079,h,t,triangle.JKM
1720808218080,h,s,segment.JK
1720808218100,h,s,segment.JK
1720808220816,h,s,segment.JK
1720808220822,h,s,segment.JK
1720808220822,h,t,triangle.JKM
1720808220829,h,t,triangle.JKM
1720808220837,h,s,segment.KM
1720808220850,h,s,segment.KM
1720808220850,h,t,triangle.KLM
1720808220899,h,t,triangle.KLM
1720808220899,h,s,segment.KL
1720808220920,h,s,segment.KL
1720808222468,h,po,L
1720808222531,h,po,L
1720808222566,h,s,segment.LM
1720808222580,h,s,segment.LM
1720808222580,h,s,segment.KL
1720808222614,h,s,segment.KL
1720808222615,h,s,segment.LM
1720808222955,h,s,segment.LM
1720808222955,h,s,segment.KM
1720808222969,h,s,segment.KM
1720808222969,h,s,segment.JM
1720808223052,h,s,segment.JM
1720808223053,h,s,segment.JK
1720808223073,h,s,segment.JK
1720808223080,h,po,J
1720808223095,h,po,J
1720808225789,c,pr,s3
1720808240723,c,pr,s2
1720808241400,c,pr,s3
1720808500643,c,pr-r,s1
1720808501329,c,pr-r,s2
1720808501510,c,pr-r,s3
1720808501693,c,pr-r,s4
1720808501884,c,pr-r,s5
1720808502409,c,pr-r,s6
1720808503396,c,pr-r,s7
1720808511324,c,pr,s1
1720808512590,c,pr,given
1720808514528,p,l,CD
1720808514632,p,l,AB
1720808515126,p,l,CD
1720808515535,p,l,AB
1720808516001,p,l,CD
1720808522168,p,l,AB
1720808523850,p,l,AB
1720808523970,p,l,AB
1720808524850,p,l,CD
1720808525284,p,l,AB
1720808526662,p,l,AB
1720808527419,p,l,CD
1720808527580,h,s,segment.AC
1720808527586,h,s,segment.AC
1720808527587,h,t,triangle.ACM
1720808527802,h,t,triangle.ACM
1720808527824,h,s,segment.AM
1720808528081,c,s,segment.AM
1720808528247,h,t,triangle.ACM
1720808528281,h,t,triangle.ACM
1720808528281,h,s,segment.AC
1720808528288,h,s,segment.AC
1720808528851,h,s,segment.AC
1720808528858,h,s,segment.AC
1720808528858,h,t,triangle.ACM
1720808528865,h,t,triangle.ACM
1720808529086,h,po,M
1720808529115,h,po,M
1720808529190,h,t,triangle.ACM
1720808529247,h,t,triangle.ACM
1720808529949,c,s,segment.AM
1720808530024,h,t,triangle.ACM
1720808530039,h,t,triangle.ACM
1720808530046,h,t,triangle.ACM
1720808530080,h,t,triangle.ACM
1720808530080,h,s,segment.AC
1720808530087,h,s,segment.AC
1720808530691,p,l,AB
1720808531114,p,l,AB
1720808532032,p,l,CD
1720808533254,p,l,CD
1720808533921,p,l,CD
1720808534617,p,l,M
1720808534692,p,l,AM
1720808535949,m,d,Congruent lines
1720808536067,p,l,BM
1720808536838,p,l,CM
1720808537186,m,d,Congruent lines
1720808537220,p,l,DM
1720808537644,p,l,DM
1720808537887,m,d,Congruent lines
1720808537901,p,l,CM
1720808537922,p,l,BM
1720808538227,p,l,AC
1720808538256,m,d,Parallel
1720808538626,p,l,AC
1720808539326,m,d,Parallel
1720808539367,p,l,BD
1720808539630,p,l,BD
1720808540929,p,l,M
1720808540999,p,l,CD
1720808541797,p,l,AB
1720808541999,p,l,AB
1720808544742,p,l,M
1720808544832,p,l,CD
1720808546419,c,pr,s4
1720808552129,c,pr,s1
1720808553925,c,pr,s2
1720808555988,c,pr,s1
1720808561205,c,pr,s2
1720808561533,c,pr,s3
1720808563954,c,pr,s7
1720808566219,m,re,
1720808577734,ml,re,
1720808577874,m,mi,
1720808579672,ml,mi,
1720808583684,c,pr,s3
1720808584134,c,pr,s4
1720808585576,c,pr,s5
1720808586347,m,mi,
1720808586493,ml,mi,
1720808598979,c,pr,s2
1720808600274,c,pr,s3
1720808600984,c,pr,s2
1720808601351,c,pr,s3
1720808602159,c,pr,s5
1720808604377,c,pr,s4
1720808605627,c,pr,s5
1720808610886,h,s,segment.AC
1720808610893,h,s,segment.AC
1720808610894,h,s,segment.AM
1720808610900,h,s,segment.AM
1720808800637,c,pr,s1
1720808801741,p,l,WZ
1720808802443,p,l,XY
1720808803157,p,l,XY
1720808803373,p,l,WZ
1720808803588,p,l,WZ
1720808804956,p,l,XY
1720808807783,p,l,WX
1720808808645,m,d,Parallel
1720808809408,p,l,YZ
1720808810396,m,d,Parallel
1720808810465,p,l,WX
1720808814744,m,d,Parallel
1720808814798,p,l,YZ
1720808815229,m,d,Parallel
1720808815695,p,l,WX
1720808818202,p,l,YZ
1720808818688,p,l,WZ
1720808819577,p,l,XY
1720808820529,p,l,YZ
1720808820703,p,l,WX
1720808820904,p,l,WX
1720808821737,p,l,WZ
1720808822672,c,pr,s2
1720808825797,c,pr,s3
1720808830763,c,pr,s4
1720808832068,c,pr,s5
1720808836643,c,pr,s6
1720808841007,c,pr,s5
1720808843672,c,pr,s6
1720808848738,c,pr,s5
1720808853111,p,l,WZ
1720808854159,p,l,WZ
1720808854744,p,l,XY
1720808856957,c,pr,s6
1720808860453,c,pr,s5
1720808877229,c,pr,s6
1720808879587,c,pr,s7
1720808892042,m,mi,
1720808892973,ml,mi,
1720808892974,m,re,
1720808895507,ml,re,
1720808896230,h,s,segment.YZ
1720808896889,h,s,segment.YZ
1720808896890,h,t,triangle.MYZ
1720808896938,h,t,triangle.MYZ
1720808896938,h,s,segment.MY
1720808896959,h,s,segment.MY
1720808897459,h,po,Y
1720808897507,h,po,Y
1720808897516,h,s,segment.MY
1720808897530,h,s,segment.MY
1720808897531,h,s,segment.YZ
1720808897585,h,s,segment.YZ
1720808897585,h,s,segment.MY
1720808897598,h,s,segment.MY
1720808897612,h,s,segment.MY
1720808897883,h,s,segment.MY
1720808897889,h,s,segment.MY
1720808897898,h,s,segment.MY
1720808897910,h,s,segment.YZ
1720808897918,h,s,segment.YZ
1720808897926,h,po,Y
1720808897945,h,po,Y
1720808902266,c,pr,s8
1720808909809,p,l,MWX
1720808909885,m,d,Congruent triangles
1720808909892,p,l,MYZ
1720808910239,m,d,Congruent angles
1720808910254,p,l,WMX
1720808913434,c,pr,s6
1720808913826,c,pr,s7
1720808914837,c,pr,s6
1720808915174,c,pr,s7
1720809002557,c,pr-r,s1
1720809004701,m,d,Congruent triangles
1720809004778,p,l,UQL
1720809004842,p,l,UQL
1720809005305,p,l,UQL
1720809005500,p,l,LU
1720809005959,m,d,Perpendicular
1720809006215,p,l,PS
1720809007180,p,l,PS
1720809007771,m,d,Perpendicular
1720809007812,p,l,LU
1720809008528,p,l,LN
1720809008563,m,d,Congruent lines
1720809008584,p,l,QU
1720809008758,m,d,Congruent lines
1720809008835,p,l,LN
1720809009542,m,d,Congruent lines
1720809009585,p,l,QU
1720809018349,p,l,UQL
1720809018970,c,pr,s2
1720809019341,c,pr,s3
1720809019349,p,l,UPS
1720809019687,c,pr,s4
1720809021794,p,l,PSU
1720809022037,p,l,PSL
1720809022982,p,l,PSU
1720809023704,p,l,PSU
1720809028220,c,pr,s5
1720809029094,p,l,PS
1720809029178,m,d,Congruent lines
1720809029241,p,l,PS
1720809029713,m,d,Congruent lines
1720809029741,p,l,PS
1720809031558,c,pr,s6
1720809032379,p,l,LSP
1720809032678,m,d,Congruent triangles
1720809032700,p,l,USP
1720809032741,p,l,PSU
1720809032872,p,l,LNU
1720809033046,p,l,LNU
1720809033617,m,d,Congruent triangles
1720809033637,p,l,UQL
1720809034401,p,l,PSU
1720809036734,p,l,USP
1720809038672,p,l,USP
1720809039540,p,l,LSP
1720809040020,m,d,Congruent triangles
1720809040040,p,l,USP
1720809040513,m,d,Congruent triangles
1720809040539,p,l,LSP
1720809041215,m,d,Congruent triangles
1720809041234,p,l,USP
1720809043951,p,l,USP
1720809044001,m,d,Congruent triangles
1720809044015,p,l,LSP
1720809049036,m,d,Congruent lines
1720809050008,p,l,USP
1720809050314,p,l,USP
1720809054070,p,l,USP
1720809055745,m,d,Congruent angles
1720809055765,p,l,LPS
1720809055960,p,l,LPS
1720809056461,m,d,Congruent angles
1720809056501,p,l,UPS
1720809057051,m,d,Congruent angles
1720809057078,p,l,LPS
1720809057427,m,d,Congruent angles
1720809057447,p,l,UPS
1720809057849,p,l,PSL
1720809057967,p,l,PSL
1720809058169,p,l,PSL
1720809058558,p,l,PSU
1720809059308,p,l,PSL
1720809059447,m,d,Congruent lines
1720809059739,p,l,PS
1720809060080,m,d,Congruent lines
1720809060101,p,l,PS
1720809060525,m,d,Congruent triangles
1720809061297,c,pr,s7
1720809061428,p,l,SUP
1720809061787,p,l,SUP
1720809061913,m,d,Congruent angles
1720809061970,p,l,SLP
1720809062469,m,d,Congruent angles
1720809062483,p,l,SUP
1720809063052,m,d,Congruent angles
1720809063067,p,l,SLP
1720809063428,m,d,Congruent angles
1720809063442,p,l,SUP
1720809064455,m,d,Congruent angles
1720809064480,p,l,SLP
1720809065379,m,d,Congruent angles
1720809065401,p,l,SUP
1720809066177,c,pr,s8
1720809066934,p,l,UQL
1720809067053,m,d,Congruent angles
1720809067075,p,l,LNU
1720809068088,m,d,Congruent angles
1720809068103,p,l,UQL
1720809069075,m,d,Congruent angles
1720809069095,p,l,LNU
1720809069865,p,l,LNU
1720809072241,p,l,SUP
1720809072880,m,d,Congruent angles
1720809072894,p,l,SLP
1720809073610,m,d,Congruent angles
1720809073625,p,l,SUP
1720809074102,p,l,LNU
1720809074409,m,d,Congruent angles
1720809074616,p,l,LNU
1720809076124,m,d,Congruent angles
1720809076144,p,l,UQL
1720809077131,m,d,Congruent angles
1720809077150,p,l,LNU
1720809077513,m,d,Congruent angles
1720809077527,p,l,UQL
1720809078007,m,d,Congruent angles
1720809078034,p,l,LNU
1720809082952,m,d,Congruent angles
1720809082978,p,l,UQL
1720809084061,c,pr,s9
1720809084503,p,l,UQL
1720809085882,p,l,UQL
1720809086389,p,l,UQL
1720809087160,p,l,UQL
1720809088028,p,l,SUP
1720809088234,c,pr,s7
1720809088507,p,l,UQL
1720809089098,c,pr,s8
1720809090549,p,l,SUP
1720809090877,c,pr,s7
1720809091845,c,pr,s8
1720809092302,c,pr,s7
1720809092710,c,pr,s8
1720809093124,c,pr,s7
1720809093608,c,pr,s8
1720809097133,c,pr,s7
1720809155420,c,pr,s9
