t,e,c,v
1721432777111,h,s,segment.AB
1721432778442,c,qh,show
1721432779684,c,qh,hide
1721432781170,c,pr-r,s3
1721432783692,c,pr-r,s4
1721432806258,h,s,segment.AD
1721432806269,h,s,segment.AD
1721432806269,h,s,segment.AC
1721432806287,h,s,segment.AC
1721432806287,h,t,triangle.ABC
1721432806299,h,t,triangle.ABC
1721432806299,h,s,segment.AB
1721432806354,h,s,segment.AB
1721432807707,h,s,segment.AB
1721432807718,h,s,segment.AB
1721432807718,h,t,triangle.ABC
1721432807730,h,t,triangle.ABC
1721432807730,h,s,segment.AC
1721432807735,h,s,segment.AC
1721432807735,h,t,triangle.ACD
1721432807790,h,t,triangle.ACD
1721432807790,h,s,segment.CD
1721432807911,h,s,segment.CD
1721432807911,h,t,triangle.ACD
1721432808075,h,t,triangle.ACD
1721432808075,h,s,segment.AC
1721432808772,h,s,segment.AC
1721432808820,h,t,triangle.ABC
1721432808863,h,t,triangle.ABC
1721432808881,h,s,segment.AB
1721432811930,h,s,segment.AB
1721432811942,h,po,B
1721432811948,h,po,B
1721432811948,h,s,segment.AB
1721432811960,h,s,segment.AB
1721432815490,c,pr,s3
1721432815862,c,pr,s2
1721432816256,c,pr,s1
1721432817268,c,pr,s4
1721432817456,h,s,segment.AB
1721432817463,h,s,segment.AB
1721432831906,h,s,segment.AD
1721432831917,h,s,segment.AD
1721432831917,h,po,A
1721432831923,h,po,A
1721432832570,h,po,A
1721432832578,h,po,A
1721432852809,m,re,
1721432853597,ml,re,
1721432857750,h,t,triangle.ACD
1721432857777,h,t,triangle.ACD
1721432857778,h,s,segment.AC
1721432857796,h,s,segment.AC
1721432857796,h,t,triangle.ABC
1721432857814,h,t,triangle.ABC
1721432857833,h,s,segment.AB
1721432857862,h,s,segment.AB
1721432860271,c,pr,s2
1721432862891,c,pr,s3
1721432864009,c,pr,s2
1721432869093,c,pr,s3
1721432869978,c,pr,s2
1721432886656,p,l,ADC
1721432886689,p,l,BC
1721432887103,p,l,AD
1721432887598,p,l,AB
1721432887615,m,d,Congruent lines
1721432887632,p,l,AD
1721432887721,p,l,BC
1721432887817,m,d,Congruent lines
1721432887874,p,l,DC
1721432888179,m,d,Congruent lines
1721432888208,p,l,BC
1721432888290,p,l,AD
1721432888393,m,d,Congruent lines
1721432888438,p,l,AB
1721432888795,m,d,Congruent lines
1721432888820,p,l,AD
1721432888908,p,l,BC
1721432889013,m,d,Congruent lines
1721432889038,p,l,DC
1721432889727,m,d,Congruent lines
1721432890185,p,l,BC
1721432890299,p,l,AD
1721432890387,m,d,Congruent lines
1721432890511,p,l,AB
1721432891482,p,l,AD
1721432891517,p,l,BC
1721432891555,m,d,Congruent lines
1721432891590,p,l,DC
1721432893480,p,l,ABC
1721432894117,p,l,AB
1721432894439,p,l,AD
1721432894609,p,l,AB
1721432895067,m,d,Congruent lines
1721432895081,p,l,AD
1721432895111,p,l,BC
1721432895341,p,l,DC
1721432895357,m,d,Congruent lines
1721432895378,p,l,BC
1721432895408,p,l,AD
1721432895430,m,d,Congruent lines
1721432895445,p,l,AB
1721432895657,p,l,AB
1721432895679,m,d,Congruent lines
1721432895693,p,l,AD
1721432895699,p,l,BC
1721432895705,m,d,Congruent lines
1721432895718,p,l,DC
1721432898966,p,l,DC
1721432898984,m,d,Congruent lines
1721432898995,p,l,BC
1721432899020,p,l,AD
1721432899039,m,d,Congruent lines
1721432899057,p,l,AB
1721432900844,p,l,AB
1721432900877,m,d,Congruent lines
1721432900887,p,l,AD
1721432900923,p,l,BC
1721432902125,m,d,Congruent lines
1721432903559,p,l,BC
1721432903686,p,l,AD
1721432903849,m,d,Congruent lines
1721432903929,p,l,AB
1721432904421,p,l,AB
1721432904517,m,d,Congruent lines
1721432904668,p,l,AD
1721432904826,p,l,BC
1721432904969,m,d,Congruent lines
1721432905038,p,l,DC
1721432906338,h,s,segment.AB
1721432906348,h,s,segment.AB
1721432906867,h,s,segment.AB
1721432908099,h,s,segment.AB
1721432908687,h,s,segment.AB
1721432909485,h,s,segment.AB
1721432909485,h,t,triangle.ABC
1721432909505,h,t,triangle.ABC
1721432909505,h,s,segment.AC
1721432909723,h,s,segment.AC
1721432909724,h,s,segment.AD
1721432909754,h,s,segment.AD
1721432910209,h,s,segment.AD
