t,e,c,v
1721852667649,h,s,segment.AB
1721852677870,c,pr,s1
1721852678982,a,pr,s2
1721852679986,a,pr,s3
1721852682752,c,pr,s1
1721852683699,a,pr,s2
1721852684854,a,pr,s3
1721852685761,a,pr,s4
1721852687525,h,s,segment.BC
1721852687543,h,s,segment.BC
1721852687544,h,t,triangle.ABC
1721852687577,h,t,triangle.ABC
1721852687578,h,t,triangle.ACD
1721852687641,h,t,triangle.ACD
1721852687643,h,s,segment.CD
1721852687660,h,s,segment.CD
1721852687661,h,po,D
1721852687678,h,po,D
1721852690794,m,mi,
1721852690877,ml,mi,
1721852704146,m,mi,
1721852704163,ml,mi,
1721852704212,h,s,segment.BC
1721852704245,h,s,segment.BC
1721852732854,h,s,segment.AB
1721852732871,h,s,segment.AB
1721852732871,h,t,triangle.ABC
1721852732971,h,t,triangle.ABC
1721852732983,h,t,triangle.ABC
1721852732999,h,t,triangle.ABC
1721852733000,h,s,segment.AC
1721852733046,h,s,segment.AC
1721852733048,h,t,triangle.ACD
1721852733082,h,t,triangle.ACD
1721852733083,h,s,segment.AD
1721852733099,h,s,segment.AD
1721852736402,m,re,
1721852736486,ml,re,
1721852745701,h,s,segment.AD
1721852745719,h,s,segment.AD
1721852745721,h,t,triangle.ACD
1721852745755,h,t,triangle.ACD
1721852745757,h,s,segment.AC
1721852745770,h,s,segment.AC
1721852745772,h,t,triangle.ABC
1721852745811,h,t,triangle.ABC
1721852745843,h,s,segment.AB
1721852745937,h,s,segment.AB
1721852748551,c,pr,s1
1721852750209,a,pr,s2
1721852752608,c,pr,s1
1721852754163,a,pr,s2
1721852755640,a,pr,s3
1721852760215,a,pr,s4
1721852764345,h,s,segment.AB
1721852764362,h,s,segment.AB
1721852764363,h,t,triangle.ABC
1721852764378,h,t,triangle.ABC
1721852764395,h,s,segment.AC
1721852764413,h,s,segment.AC
1721852764414,h,t,triangle.ACD
1721852764428,h,t,triangle.ACD
1721852764429,h,s,segment.AD
1721852764460,h,s,segment.AD
1721852773469,m,mi,
1721852775005,ml,mi,
1721852775104,h,s,segment.CD
1721852775122,h,s,segment.CD
1721852775124,h,t,triangle.ACD
1721852775154,h,t,triangle.ACD
1721852775155,h,s,segment.AD
1721852775180,h,s,segment.AD
1721852791087,n,i,
1721852796227,h,s,segment.LM
1721852796245,h,s,segment.LM
1721852796247,h,s,segment.KM
1721852797961,h,s,segment.KM
1721852797963,h,s,segment.LM
1721852799195,h,s,segment.LM
1721852799195,h,s,segment.KM
1721852801631,h,s,segment.KM
1721852801931,p,l,KLM
1721852801966,p,l,NK
1721852801997,p,l,LM
1721852802913,p,l,KLMN
1721852803565,p,l,KLMN
1721852809270,m,d,Congruent lines
1721852809301,p,l,NK
1721852809718,m,d,Congruent lines
1721852809768,p,l,LM
1721852811337,m,d,Congruent lines
1721852812651,p,l,NK
1721852815054,m,d,Congruent lines
1721852815105,p,l,LM
1721852815520,p,l,LM
1721852815972,m,d,Congruent lines
1721852816070,p,l,NK
1721852816588,p,l,KLM
1721852820506,p,l,MNK
1721852820740,m,d,Congruent triangles
1721852820774,p,l,KLM
1721852822440,m,d,Congruent triangles
1721852822474,p,l,MNK
1721852825993,m,d,Congruent triangles
1721852826074,p,l,KLM
1721852830658,a,pr,prove
1721852833598,p,l,MNK
1721852834630,m,d,Congruent triangles
1721852834648,p,l,KLM
1721852835067,a,pr,s1
1721852836912,p,l,KLMN
1721852837767,a,pr,s2
1721852838997,p,l,LM
1721852839750,m,d,Congruent lines
1721852839831,p,l,NK
1721852842162,a,pr,s3
1721852844701,p,l,KLM
1721852845762,a,pr,s4
1721852848852,p,l,KLM
1721852876767,p,l,NK
1721852877334,m,d,Congruent lines
1721852877402,p,l,LM
1721852878634,p,l,LM
1721852878702,m,d,Congruent lines
1721852878870,p,l,NK
1721852879452,m,d,Congruent lines
1721852879538,p,l,LM
1721852896942,m,d,Congruent lines
1721852897060,p,l,NK
1721852898346,m,d,Congruent lines
1721852901795,p,l,KLM
1721852910818,p,l,KLM
1721852911398,p,l,KLM
1721852912567,p,l,MNK
1721852957490,p,l,LM
1721852957673,m,d,Congruent lines
1721852957706,p,l,NK
1721853027988,h,s,segment.LM
1721853028005,h,s,segment.LM
1721853028005,h,t,triangle.KLM
1721853028074,h,t,triangle.KLM
1721853028076,h,s,segment.KM
1721853028172,h,s,segment.KM
1721853028173,h,t,triangle.KMN
1721853028239,h,t,triangle.KMN
1721853028241,h,s,segment.MN
1721853028273,h,s,segment.MN
1721853079788,a,pr,s5
1721853082578,a,pr,s6
1721853090451,p,l,KLM
1721853090669,p,l,KLM
1721853090865,p,l,KLM
1721853092921,p,l,KLM
1721853093571,p,l,MNK
1721853093888,p,l,MK
1721853094006,m,d,Congruent lines
1721853094057,p,l,MK
1721853094990,m,d,Congruent lines
1721853095089,p,l,MK
1721853097156,m,d,Congruent lines
1721853097177,p,l,MK
1721853097473,m,d,Congruent lines
1721853097490,p,l,MK
1721853098004,p,l,KLM
1721853099491,m,d,Congruent triangles
1721853099553,p,l,MNK
1721853109732,p,l,MK
1721853109750,p,l,MK
1721853110080,p,l,LM
1721853110212,m,d,Congruent lines
1721853110233,p,l,NK
1721853110493,p,l,NK
1721853110914,m,d,Congruent lines
1721853110964,p,l,LM
1721853111814,m,d,Congruent lines
1721853111833,p,l,NK
1721853112262,h,t,triangle.KLM
1721853112331,h,t,triangle.KLM
1721853112333,h,s,segment.KM
1721853112364,h,s,segment.KM
1721853112366,h,t,triangle.KMN
1721853112430,h,t,triangle.KMN
1721853112462,h,s,segment.MN
1721853112497,h,s,segment.MN
1721853114564,h,s,segment.MN
1721853114616,h,s,segment.MN
1721853114618,h,t,triangle.KMN
1721853114797,h,t,triangle.KMN
1721853114814,h,s,segment.KN
1721853114930,h,s,segment.KN
1721853114932,h,po,K
1721853114997,h,po,K
1721853115181,h,po,K
1721853115229,h,po,K
1721853115230,h,s,segment.KN
1721853115779,h,s,segment.KN
1721853115781,h,t,triangle.KMN
1721853115831,h,t,triangle.KMN
1721853115833,h,s,segment.KM
1721853115881,h,s,segment.KM
1721853115881,h,t,triangle.KLM
1721853116115,h,t,triangle.KLM
1721853116117,h,s,segment.LM
1721853116181,h,s,segment.LM
1721853116381,h,s,segment.LM
1721853116414,h,s,segment.LM
1721853116415,h,t,triangle.KLM
1721853116464,h,t,triangle.KLM
1721853116467,h,s,segment.KM
1721853116481,h,s,segment.KM
1721853116483,h,t,triangle.KMN
1721853116514,h,t,triangle.KMN
1721853116515,h,s,segment.MN
1721853116532,h,s,segment.MN
1721853135638,m,mi,
1721853135672,ml,mi,
1721853135775,m,re,
1721853138243,ml,re,
1721853138676,m,re,
1721853139411,ml,re,
1721853139444,m,mi,
1721853146521,ml,mi,
1721853149358,h,s,segment.LM
1721853149846,h,s,segment.LM
1721853149850,h,t,triangle.KLM
1721853149915,h,t,triangle.KLM
1721853149917,h,s,segment.KM
1721853149964,h,s,segment.KM
1721853149967,h,t,triangle.KMN
1721853150215,h,t,triangle.KMN
1721853150446,h,s,segment.KN
1721853151080,h,s,segment.KN
1721853151098,h,t,triangle.KMN
1721853151197,h,t,triangle.KMN
1721853151200,h,s,segment.KM
1721853151232,h,s,segment.KM
1721853151234,h,t,triangle.KLM
1721853151547,h,t,triangle.KLM
1721853151646,h,s,segment.KM
1721853152296,h,s,segment.KM
1721853152298,h,t,triangle.KMN
1721853152365,h,t,triangle.KMN
1721853157420,h,s,segment.LM
1721853157438,h,s,segment.LM
1721853157440,h,s,segment.MN
1721853157459,h,s,segment.MN
1721853223107,c,sr,CPCTC
1721853224801,c,sr,ASA Triangle Congruence
1721853231177,c,sd,Parallel
