t,e,c,v
1721922689035,h,s,segment.BD
1721922689186,h,s,segment.BD
1721922689188,h,t,triangle.ABD
1721922689534,h,t,triangle.ABD
1721922689537,h,s,segment.AB
1721922689602,h,s,segment.AB
1721922691037,h,s,segment.BC
1721922691053,h,s,segment.BC
1721922691054,h,t,triangle.BCD
1721922691136,h,t,triangle.BCD
1721922691139,h,s,segment.BD
1721922691802,h,s,segment.BD
1721922691805,h,t,triangle.BCD
1721922691953,h,t,triangle.BCD
1721922691956,h,s,segment.BC
1721922692021,h,s,segment.BC
1721922698059,h,s,segment.BC
1721922698488,h,s,segment.BC
1721922698491,h,s,segment.BD
1721922698588,h,s,segment.BD
1721922698591,h,s,segment.AB
1721922698623,h,s,segment.AB
1721922744064,h,s,segment.AB
1721922744116,h,s,segment.AB
1721922744118,h,t,triangle.ABD
1721922744396,h,t,triangle.ABD
1721922744399,h,s,segment.AB
1721922744447,h,s,segment.AB
1721922753641,h,s,segment.AB
1721922753673,h,s,segment.AB
1721922753674,h,s,segment.BD
1721922753706,h,s,segment.BD
1721922753708,h,t,triangle.BCD
1721922753722,h,t,triangle.BCD
1721922753724,h,s,segment.BC
1721922753755,h,s,segment.BC
1721922753867,h,s,segment.BC
1721922753936,h,s,segment.BC
1721922753938,h,t,triangle.BCD
1721922754150,h,t,triangle.BCD
1721922754153,h,s,segment.CD
1721922754234,h,s,segment.CD
1721922754633,h,s,segment.AD
1721922754700,h,s,segment.AD
1721922754703,h,s,segment.BD
1721922754766,h,s,segment.BD
1721922754800,h,s,segment.BD
1721922754917,h,s,segment.BD
1721922754933,h,po,D
1721922754952,h,po,D
1721922754954,h,s,segment.CD
1721922755550,h,s,segment.CD
1721922755552,h,s,segment.AD
1721922756150,h,s,segment.AD
1721922756152,h,t,triangle.ABD
1721922756667,h,t,triangle.ABD
1721922756670,h,s,segment.BD
1721922757951,h,s,segment.BD
1721922757955,h,s,segment.CD
1721922758367,h,s,segment.CD
1721922758369,h,s,segment.AD
1721922758452,h,s,segment.AD
1721922759186,m,mi,
1721922759419,ml,mi,
1721922759520,h,s,segment.AD
1721922759587,h,s,segment.AD
1721922759605,h,s,segment.BD
1721922759986,h,s,segment.BD
1721922760004,h,s,segment.CD
1721922760543,h,s,segment.CD
1721922760545,h,s,segment.BD
1721922761555,h,s,segment.BD
1721922761558,h,s,segment.AD
1721922761887,h,s,segment.AD
1721922761890,h,s,segment.BD
1721922762053,h,s,segment.BD
1721922762055,h,s,segment.AD
1721922762270,h,s,segment.AD
1721922762853,m,mi,
1721922802209,ml,mi,
1721922802275,h,s,segment.AD
1721922802292,h,s,segment.AD
1721922802294,h,t,triangle.ABD
1721922802325,h,t,triangle.ABD
1721922802328,h,s,segment.AB
1721922802420,h,s,segment.AB
1721922802424,h,t,triangle.ABD
1721922802503,h,t,triangle.ABD
1721922802505,h,s,segment.BD
1721922802570,h,s,segment.BD
1721922802573,h,t,triangle.BCD
1721922802720,h,t,triangle.BCD
1721922802723,h,po,D
1721922802786,h,po,D
1721922802803,h,s,segment.CD
1721922802888,h,s,segment.CD
1721922802891,h,s,segment.BD
1721922802920,h,s,segment.BD
1721922802921,h,s,segment.AD
1721922803503,h,s,segment.AD
1721922803506,h,t,triangle.ABD
1721922803636,h,t,triangle.ABD
1721922803637,h,s,segment.BD
1721922804471,h,s,segment.BD
1721922804474,h,s,segment.CD
1721922808043,h,s,segment.CD
1721922808047,h,s,segment.BD
1721922808061,h,s,segment.BD
1721922808077,h,s,segment.BD
1721922808094,h,s,segment.BD
1721922808096,h,t,triangle.ABD
1721922808163,h,t,triangle.ABD
1721922808165,h,s,segment.AB
1721922808196,h,s,segment.AB
1721923191078,h,s,segment.JM
1721923191112,h,s,segment.JM
1721923191113,h,t,triangle.JKM
