t,e,c,v
1720754412575,h,t,triangle.ACD
1720754412576,h,s,segment.AC
1720754412583,h,s,segment.AC
1720754412583,h,t,triangle.ABC
1720754412631,h,t,triangle.ABC
1720754412632,h,s,segment.AC
1720754412639,h,s,segment.AC
1720754412640,h,t,triangle.ACD
1720754412659,h,t,triangle.ACD
1720754431386,h,s,segment.AD
1720754431393,h,s,segment.AD
1720754431393,h,t,triangle.ACD
1720754431401,h,t,triangle.ACD
1720754431401,h,s,segment.AC
1720754431408,h,s,segment.AC
1720754431408,h,t,triangle.ABC
1720754431414,h,t,triangle.ABC
1720754431414,h,s,segment.AB
1720754431428,h,s,segment.AB
1720754431518,h,s,segment.AB
1720754431526,h,s,segment.AB
1720754431526,h,t,triangle.ABC
1720754431532,h,t,triangle.ABC
1720754431533,h,s,segment.AC
1720754431539,h,s,segment.AC
1720754431539,h,s,segment.AD
1720754431546,h,s,segment.AD
1720754433568,c,qh,show
1720754434738,c,qh,hide
1720754436528,c,qh,show
1720754437035,c,qh,hide
1720754438053,c,qh,show
1720754438373,c,qh,hide
1720754438706,c,qh,show
1720754439015,c,qh,hide
1720754439309,c,qh,show
1720754439586,c,qh,hide
1720754439893,c,qh,show
1720754440407,c,qh,hide
1720754443118,c,qh,show
1720754443667,c,qh,hide
1720754444090,c,qh,show
1720754445735,c,qh,hide
1720754446464,c,qh,show
1720754447872,c,qh,hide
1720754448551,c,qh,show
1720754449188,c,qh,hide
1720754451428,c,qh,show
1720754452110,c,qh,hide
1720754459611,h,po,A
1720754459618,h,po,A
1720754465514,c,pr-r,s2
1720754466094,c,pr-r,s3
1720754466411,c,pr-r,s4
1720754467185,c,pr,s1
1720754467406,p,l,DAC
1720754467578,c,pr,s2
1720754468214,c,pr,s3
1720754472545,h,s,segment.AB
1720754472566,h,s,segment.AB
1720754472566,h,t,triangle.ABC
1720754472601,h,t,triangle.ABC
1720754472614,h,t,triangle.ABC
1720754472621,h,t,triangle.ABC
1720754472622,h,s,segment.AC
1720754472761,h,s,segment.AC
1720754472768,h,t,triangle.ABC
1720754472802,h,t,triangle.ABC
1720754472803,h,s,segment.AB
1720754473366,h,s,segment.AB
1720754474130,h,po,A
1720754474415,h,po,A
1720754474416,h,s,segment.AD
1720754474513,h,s,segment.AD
1720754474763,h,s,segment.AD
1720754474770,h,s,segment.AD
1720754474771,h,po,A
1720754474784,h,po,A
1720754474923,h,s,segment.AC
1720754474979,h,s,segment.AC
1720754474979,h,s,segment.CD
1720754474986,h,s,segment.CD
1720754474987,h,po,C
1720754474993,h,po,C
1720754477616,p,l,AD
1720754477630,m,d,Congruent lines
1720754477642,p,l,AB
1720754478017,p,l,DAC
1720754478512,m,d,Congruent angles
1720754478519,p,l,BAC
1720754478873,p,l,DAC
1720754479471,p,l,DAC
1720754480368,m,d,Congruent angles
1720754480438,p,l,AD
1720754480445,m,d,Congruent lines
1720754480627,c,pr,s1
1720754481008,p,l,AD
1720754482857,h,s,segment.AB
1720754482864,h,s,segment.AB
1720754482865,h,t,triangle.ABC
1720754482872,h,t,triangle.ABC
1720754482873,h,t,triangle.ACD
1720754482879,h,t,triangle.ACD
1720754487238,p,l,ABC
1720754487815,h,s,segment.AB
1720754487823,h,s,segment.AB
1720754487823,h,t,triangle.ABC
1720754487843,h,t,triangle.ABC
1720754487844,h,s,segment.AC
1720754487851,h,s,segment.AC
1720754487851,h,t,triangle.ACD
1720754487920,h,t,triangle.ACD
1720754487920,h,s,segment.AD
1720754487975,h,s,segment.AD
1720754488114,h,po,A
1720754488149,h,po,A
1720754488525,h,s,segment.BC
1720754488532,h,s,segment.BC
1720754488533,h,s,segment.AC
1720754488545,h,s,segment.AC
1720754488546,h,t,triangle.ACD
1720754488602,h,t,triangle.ACD
1720754488602,h,s,segment.AD
1720754488622,h,s,segment.AD
1720754489171,h,s,segment.AB
1720754489179,h,s,segment.AB
1720754489179,h,t,triangle.ABC
1720754489200,h,t,triangle.ABC
1720754489201,h,s,segment.AC
1720754489213,h,s,segment.AC
1720754489214,h,t,triangle.ACD
1720754489220,h,t,triangle.ACD
1720754489221,h,s,segment.CD
1720754489269,h,s,segment.CD
1720754489762,h,s,segment.AB
1720754489777,h,s,segment.AB
1720754489777,h,t,triangle.ABC
1720754489811,h,t,triangle.ABC
1720754489811,h,s,segment.AC
1720754489825,h,s,segment.AC
1720754489825,h,s,segment.AD
1720754489839,h,s,segment.AD
1720754490562,p,l,ADC
1720754491529,h,s,segment.AB
1720754491536,h,s,segment.AB
1720754491537,h,t,triangle.ABC
1720754491543,h,t,triangle.ABC
1720754491543,h,s,segment.AC
1720754491550,h,s,segment.AC
1720754491550,h,t,triangle.ACD
1720754491577,h,t,triangle.ACD
1720754491578,h,s,segment.AD
1720754491626,h,s,segment.AD
1720754491627,h,t,triangle.ACD
1720754491682,h,t,triangle.ACD
1720754491682,h,s,segment.AC
1720754491883,h,s,segment.AC
1720754491884,h,t,triangle.ACD
1720754491891,h,t,triangle.ACD
1720754491891,h,s,segment.AD
1720754491988,h,s,segment.AD
1720754491988,h,t,triangle.ACD
1720754492050,h,t,triangle.ACD
1720754492051,h,s,segment.CD
1720754492064,h,s,segment.CD
1720754492175,h,s,segment.CD
1720754492189,h,s,segment.CD
1720754492190,h,t,triangle.ACD
1720754492252,h,t,triangle.ACD
1720754492253,h,s,segment.AD
1720754492349,h,s,segment.AD
1720754492350,h,s,segment.AC
1720754492363,h,s,segment.AC
1720754492364,h,s,segment.AB
1720754492426,h,s,segment.AB
1720754503555,c,pr,s2
1720754504220,c,pr,s3
1720754506883,c,pr,s1
1720754508527,c,pr,s2
1720754509060,c,pr,s3
1720754512515,h,po,B
1720754512529,h,po,B
1720754512530,h,s,segment.BC
1720754512537,h,s,segment.BC
1720754512537,h,s,segment.AB
1720754512544,h,s,segment.AB
1720754513456,c,pr,s4
1720754517767,h,s,segment.CD
1720754517787,h,s,segment.CD
1720754517788,h,t,triangle.ACD
1720754517871,h,t,triangle.ACD
1720754517871,h,s,segment.AC
1720754517899,h,s,segment.AC
1720754517899,h,t,triangle.ABC
1720754517933,h,t,triangle.ABC
1720754517933,h,s,segment.AB
1720754517968,h,s,segment.AB
1720754518309,h,s,segment.AB
1720754518754,h,s,segment.AB
1720754518754,h,t,triangle.ABC
1720754518810,h,t,triangle.ABC
1720754518830,h,s,segment.AC
1720754518893,h,s,segment.AC
1720754518893,h,t,triangle.ABC
1720754519164,h,t,triangle.ABC
1720754519165,h,s,segment.BC
1720754519220,h,s,segment.BC
1720754531785,h,s,segment.BC
1720754531800,h,s,segment.BC
1720754531800,h,t,triangle.ABC
1720754531820,h,t,triangle.ABC
1720754531820,h,s,segment.AB
1720754531883,h,s,segment.AB
1720754544775,h,s,segment.AB
1720754544803,h,s,segment.AB
1720754544804,h,s,segment.BC
1720754545171,h,s,segment.BC
1720754545172,h,po,B
1720754545185,h,po,B
1720754546150,c,pr,s1
1720754546728,c,pr,prove
1720754550241,p,l,AD
1720754550290,m,d,Congruent lines
1720754550540,m,d,Congruent triangles
1720754550812,c,pr,given
1720754550964,p,l,BC
1720754551048,p,l,ADC
1720754551372,c,pr,prove
1720754569023,p,l,AD
1720754569051,p,l,BAC
1720754569086,p,l,AC
1720754569121,p,l,ADC
1720754569774,p,l,AD
1720754569816,m,d,Congruent angles
1720754569824,p,l,DAC
1720754572076,m,d,Congruent lines
1720754572084,p,l,AB
1720754572402,p,l,AB
1720754572416,p,l,AD
1720754573649,m,d,Congruent lines
1720754573655,p,l,AB
1720754573675,p,l,BAC
1720754573696,p,l,AC
1720754573731,p,l,ADC
1720754574023,p,l,DAC
1720754574370,p,l,DAC
1720754574725,m,d,Congruent angles
1720754574733,p,l,BAC
1720754574753,p,l,AC
1720754574795,p,l,ADC
1720754580491,c,pr,s1
1720754581381,c,pr,prove
1720754582312,p,l,BAC
1720754582339,p,l,AC
1720754582355,p,l,ABC
1720754583573,c,pr,s1
1720754584039,c,pr,s2
1720754584379,c,pr,s3
1720754584781,c,pr,s4
1720754585120,c,pr,s2
1720754585601,c,pr,s1
1720754586139,c,pr,s3
1720754586487,c,pr,s4
1720754587881,c,pr,s3
1720754588231,c,pr,s2
1720754588505,c,pr,s1
1720754589171,c,pr,given
1720754589717,p,l,DAC
1720754590038,m,d,Congruent angles
1720754590046,p,l,BAC
1720754590065,p,l,AC
1720754590093,p,l,ADC
1720754590941,p,l,ADC
1720754591303,p,l,ADC
1720754591679,h,po,B
1720754591693,h,po,B
1720754591922,h,po,A
1720754591936,h,po,A
1720754591936,h,s,segment.AD
1720754591977,h,s,segment.AD
1720754604227,a,pr,prove
1720754604571,a,pr,s1
1720754604965,a,pr,s2
1720754605263,a,pr,s3
1720754605521,a,pr,s4
1720754615788,h,s,segment.BC
1720754615801,h,s,segment.BC
1720754615802,h,t,triangle.ABC
1720754615844,h,t,triangle.ABC
1720754615857,h,t,triangle.ABC
1720754615864,h,t,triangle.ABC
1720754615865,h,s,segment.AC
1720754615885,h,s,segment.AC
1720754615886,h,t,triangle.ABC
1720754616274,h,t,triangle.ABC
1720754616275,h,s,segment.BC
1720754616288,h,s,segment.BC
1720754618590,h,s,segment.BC
1720754618618,h,s,segment.BC
1720754618618,h,t,triangle.ABC
1720754618680,h,t,triangle.ABC
1720754618681,h,s,segment.AC
1720754618861,h,s,segment.AC
1720754618861,h,t,triangle.ACD
1720754618903,h,t,triangle.ACD
1720754618904,h,s,segment.CD
1720754619264,h,s,segment.CD
1720754619272,h,s,segment.CD
1720754619279,h,s,segment.CD
1720754619369,h,s,segment.CD
1720754619570,h,s,segment.CD
1720754619723,h,s,segment.CD
1720754619835,h,s,segment.CD
1720754620537,h,s,segment.BC
1720754620593,h,s,segment.BC
1720754620787,h,s,segment.BC
1720754620843,h,s,segment.BC
1720754633254,c,pr-r,s1
1720754633998,c,pr-r,s2
1720754634537,c,pr-r,s3
1720754634814,c,pr-r,s4
1720754635412,c,pr-r,s5
1720754636551,c,pr,s1
1720754637325,c,pr,s2
1720754638609,c,pr,s1
1720754639443,c,pr,s2
1720754640233,c,pr,s3
1720754643978,h,s,segment.JK
1720754644041,h,s,segment.JK
1720754644049,h,po,J
1720754644062,h,po,J
1720754644228,h,po,J
1720754644236,h,po,J
1720754644237,h,s,segment.JM
1720754644285,h,s,segment.JM
1720754644416,h,s,segment.JM
