t,e,c,v
1721922506219,h,s,segment.AC
1721922506233,h,s,segment.AC
1721922506234,h,t,triangle.ACD
1721922506261,h,t,triangle.ACD
1721922506262,h,s,segment.AD
1721922506276,h,s,segment.AD
1721922527099,h,s,segment.CD
1721922527135,h,s,segment.CD
1721922527136,h,s,segment.AD
1721922527150,h,s,segment.AD
1721922530078,c,pr-r,s1
1721922534921,c,pr-r,s2
1721922535512,c,pr-r,s3
1721922536286,c,pr-r,s4
1721922537493,c,pr-r,s5
1721922591747,m,mi,
1721922592110,ml,mi,
1721922592194,h,s,segment.AB
1721922592288,h,s,segment.AB
1721922592646,h,s,segment.AB
1721922592697,h,s,segment.AB
1721922592697,h,t,triangle.ABD
1721922593080,h,t,triangle.ABD
1721922593082,h,s,segment.AD
1721922593164,h,s,segment.AD
1721922593380,h,s,segment.AD
1721922594064,h,s,segment.AD
1721922594364,h,s,segment.AD
1721922594613,h,s,segment.AD
1721922594614,h,t,triangle.ABD
1721922594648,h,t,triangle.ABD
1721922594649,h,s,segment.BD
1721922594681,h,s,segment.BD
1721922594681,h,t,triangle.BCD
1721922594814,h,t,triangle.BCD
1721922594817,h,s,segment.BC
1721922594848,h,s,segment.BC
1721922595081,h,s,segment.BC
1721922595131,h,s,segment.BC
1721922595132,h,t,triangle.BCD
1721922595181,h,t,triangle.BCD
1721922595182,h,s,segment.CD
1721922595248,h,s,segment.CD
1721922596148,h,s,segment.CD
1721922597099,h,s,segment.CD
1721922597101,h,t,triangle.BCD
1721922598033,h,t,triangle.BCD
1721922598034,h,s,segment.CD
1721922598233,h,s,segment.CD
1721922598235,h,t,triangle.BCD
1721922598333,h,t,triangle.BCD
1721922598334,h,s,segment.BC
1721922599066,h,s,segment.BC
1721922599068,h,t,triangle.BCD
1721922599133,h,t,triangle.BCD
1721922599134,h,s,segment.BD
1721922599151,h,s,segment.BD
1721922599151,h,t,triangle.ABD
1721922599167,h,t,triangle.ABD
1721922599169,h,s,segment.AD
1721922599185,h,s,segment.AD
1721922599250,m,mi,
1721922599647,ml,mi,
1721922834328,c,pr-r,s1
1721922835262,c,pr-r,s2
1721922835862,c,pr-r,s3
1721922836657,c,pr-r,s4
1721922837263,c,pr-r,s5
1721922837600,c,pr-r,s6
1721922842932,m,mi,
1721922842963,ml,mi,
1721922842964,m,re,
1721922843079,ml,re,
1721922843146,m,re,
1721922843212,ml,re,
1721922843215,m,mi,
1721922843312,ml,mi,
1721922844711,c,pr,s1
1721922845709,c,pr,s2
1721922846489,c,pr,s3
1721922847247,c,pr,s4
1721922848678,c,pr,s5
1721922849684,c,pr,s6
1721922866370,m,mi,
1721922866404,ml,mi,
1721922866603,m,mi,
1721922866638,ml,mi,
1721922866770,h,s,segment.LM
1721922866788,h,s,segment.LM
1721922867408,c,pr,s1
1721922868164,c,pr,s2
1721922868869,c,pr,s4
1721922870101,c,pr,s5
1721922870745,c,pr,s6
1721922886479,c,pr,s3
1721922915994,c,pr,s6
1721922942313,m,mi,
1721922942346,ml,mi,
1721922942396,h,s,segment.KL
1721922942414,h,s,segment.KL
1721922942416,h,t,triangle.KLM
1721922942531,h,t,triangle.KLM
1721922942533,h,s,segment.KM
1721922942546,h,s,segment.KM
1721922942548,h,s,segment.MN
1721922942564,h,s,segment.MN
1721922942570,h,po,M
1721922942579,h,po,M
1721922942925,h,po,M
1721922942942,h,po,M
1721922942942,h,s,segment.MN
1721922942975,h,s,segment.MN
1721922942977,h,s,segment.KM
1721922942993,h,s,segment.KM
1721922942996,h,t,triangle.KLM
1721922944058,h,t,triangle.KLM
1721922944061,h,s,segment.KL
1721922945292,h,s,segment.KL
1721922945293,h,t,triangle.KLM
1721922945393,h,t,triangle.KLM
1721922945394,h,s,segment.KM
1721922945410,h,s,segment.KM
1721922945412,h,t,triangle.KMN
1721922945525,h,t,triangle.KMN
1721922945527,h,s,segment.MN
1721922945576,h,s,segment.MN
1721922947655,h,s,segment.MN
1721922947744,h,s,segment.MN
1721922947746,h,t,triangle.KMN
1721922948176,h,t,triangle.KMN
1721922948178,h,s,segment.KM
1721922948227,h,s,segment.KM
1721922948230,h,s,segment.KL
1721922948261,h,s,segment.KL
1721922948860,h,s,segment.KN
1721922948894,h,s,segment.KN
1721922948896,h,t,triangle.KMN
1721922949094,h,t,triangle.KMN
1721922949096,h,s,segment.KM
1721922949127,h,s,segment.KM
1721922949129,h,t,triangle.KLM
1721922949244,h,t,triangle.KLM
1721922949246,h,s,segment.LM
1721922949311,h,s,segment.LM
1721922949377,h,s,segment.LM
1721922949395,h,s,segment.LM
1721922949412,h,po,M
1721922949428,h,po,M
1721922951831,h,s,segment.MN
1721922952159,h,s,segment.MN
1721922952160,h,t,triangle.KMN
1721922953008,h,t,triangle.KMN
1721922953010,h,s,segment.KM
1721922953026,h,s,segment.KM
1721922953028,h,s,segment.KN
1721922953458,h,s,segment.KN
1721922953460,h,po,K
1721922953509,h,po,K
1721922954008,m,mi,
1721922954107,ml,mi,
1721922956008,c,pr,s4
1721922960495,h,t,triangle.KLM
1721922960590,h,t,triangle.KLM
1721922960593,h,s,segment.KM
1721922960607,h,s,segment.KM
1721922960608,h,t,triangle.KMN
