t,e,c,v
1721852494165,h,t,triangle.KLM
1721852494167,h,s,segment.KL
1721852498097,h,s,segment.KL
1721852498099,h,t,triangle.KLM
1721852498163,h,t,triangle.KLM
1721852498210,h,t,triangle.KLM
1721852498243,h,t,triangle.KLM
1721852498244,h,s,segment.KM
1721852498294,h,s,segment.KM
1721852498296,h,t,triangle.JKM
1721852498777,h,t,triangle.JKM
1721852498778,h,s,segment.KM
1721852500744,h,s,segment.KM
1721852500745,h,t,triangle.JKM
1721852500880,h,t,triangle.JKM
1721852500881,h,s,segment.JK
1721852500899,h,s,segment.JK
1721852502270,c,pr-r,s4
1721852503629,p,l,MK
1721852503698,m,d,Congruent lines
1721852504163,p,l,MK
1721852506516,c,pr-r,s5
1721852508913,h,s,segment.JK
1721852509448,h,s,segment.JK
1721852511281,h,s,segment.JK
1721852513830,h,s,segment.JK
1721852513832,h,t,triangle.JKM
1721852514064,h,t,triangle.JKM
1721852514115,h,s,segment.KM
1721852514862,h,s,segment.KM
1721852514863,h,t,triangle.KLM
1721852515245,h,t,triangle.KLM
1721852515247,h,s,segment.KM
1721852515446,h,s,segment.KM
1721852515448,h,s,segment.LM
1721852515979,h,s,segment.LM
1721852515997,h,s,segment.KM
1721852516363,h,s,segment.KM
1721852516382,h,s,segment.LM
1721852516447,h,s,segment.LM
1721852516903,h,s,segment.LM
1721852518927,h,s,segment.LM
1721852518986,h,s,segment.KM
1721852519459,h,s,segment.KM
1721852519493,h,s,segment.JM
1721852519594,h,s,segment.JM
1721852524397,m,mi,
1721852525647,ml,mi,
1721852526097,m,re,
1721852529066,ml,re,
1721852529316,h,s,segment.KL
1721852529382,h,s,segment.KL
1721852529385,h,t,triangle.KLM
1721852529596,h,t,triangle.KLM
1721852529597,h,s,segment.LM
1721852529896,h,s,segment.LM
1721852529898,h,t,triangle.KLM
1721852529945,h,t,triangle.KLM
1721852529947,h,s,segment.KM
1721852529998,h,s,segment.KM
1721852530000,h,t,triangle.JKM
1721852530480,h,t,triangle.JKM
1721852530482,h,s,segment.JK
1721852531078,h,s,segment.JK
1721852537134,m,mi,
1721852537950,ml,mi,
1721852553795,c,pr,s4
1721852554988,c,pr,s5
1721852561832,m,mi,
1721852561982,ml,mi,
1721852562249,m,re,
1721852562265,ml,re,
1721852562466,m,re,
1721852576557,ml,re,
1721852576640,m,mi,
1721852576724,ml,mi,
1721852585178,h,po,M
1721852585372,h,po,M
1721852586045,h,s,segment.JK
1721852586062,h,s,segment.JK
1721852586063,h,t,triangle.JKM
1721852586162,h,t,triangle.JKM
1721852586164,h,s,segment.KM
1721852586194,h,s,segment.KM
1721852586196,h,t,triangle.KLM
1721852586362,h,t,triangle.KLM
1721852586364,h,s,segment.KL
1721852586380,h,s,segment.KL
1721852586630,h,s,segment.KL
1721852587715,h,s,segment.KL
1721852587718,h,t,triangle.KLM
1721852587976,h,t,triangle.KLM
1721852587978,h,s,segment.KM
1721852588043,h,s,segment.KM
1721852588044,h,t,triangle.JKM
1721852588279,h,t,triangle.JKM
1721852588282,h,s,segment.KM
1721852591245,h,s,segment.KM
1721852591250,h,t,triangle.KLM
1721852591277,h,t,triangle.KLM
1721852591279,h,s,segment.LM
1721852591333,h,s,segment.LM
1721852606696,p,l,QPR
1721852606893,p,l,QPR
1721852607815,p,l,QPR
1721852609980,p,l,RMN
1721852611880,p,l,PM
1721852612697,p,l,PM
1721852615679,p,l,R
1721852616111,p,l,QN
1721852619446,c,pr-r,s1
1721852621112,c,pr-r,s2
1721852622117,c,pr-r,s3
1721852623297,p,l,PR
1721852623497,m,d,Congruent lines
1721852623812,p,l,PR
1721852625165,m,d,Congruent lines
1721852625198,p,l,RM
1721852625763,p,l,RM
1721852629213,c,pr-r,s4
1721852639338,c,pr-r,s5
1721852641593,m,mi,
1721852643280,ml,mi,
1721852643931,h,s,segment.PR
1721852643980,h,s,segment.PR
1721852652282,c,pr-r,s6
1721852652880,p,l,RN
1721852652930,m,d,Congruent lines
1721852653165,m,d,Congruent lines
1721852653298,p,l,QR
1721852653747,m,d,Congruent lines
1721852653766,p,l,RN
1721852654580,m,mi,
1721852654927,ml,mi,
1721852655343,m,re,
1721852655763,ml,re,
1721852655794,m,re,
1721852656063,ml,re,
1721852656814,m,re,
1721852662196,ml,re,
1721852662796,h,s,segment.NR
1721852663229,h,s,segment.NR
1721852663429,h,s,segment.PR
1721852663459,h,s,segment.PR
1721852663460,h,t,triangle.PQR
1721852663647,h,t,triangle.PQR
1721852663661,h,s,segment.QR
1721852663745,h,s,segment.QR
1721852664029,h,s,segment.QR
1721852664609,h,s,segment.QR
1721852664628,h,t,triangle.PQR
1721852664662,h,t,triangle.PQR
1721852664665,h,s,segment.PR
1721852664678,h,s,segment.PR
1721852666781,c,pr-r,s7
1721852669478,p,l,QN
1721852670848,h,t,triangle.PQR
1721852670948,h,t,triangle.PQR
1721852670951,h,s,segment.PR
1721852670965,h,s,segment.PR
1721852671109,h,s,segment.NR
1721852671227,h,s,segment.NR
1721852671229,h,t,triangle.MNR
1721852671246,h,t,triangle.MNR
1721852671248,h,s,segment.MR
1721852671264,h,s,segment.MR
1721852676795,h,s,segment.QR
1721852676845,h,s,segment.QR
1721852676849,h,t,triangle.PQR
1721852676870,h,t,triangle.PQR
1721852676872,h,s,segment.PQ
1721852676913,h,s,segment.PQ
1721852677520,c,pr,s4
1721852678475,p,l,MRN
1721852679210,m,d,Congruent angles
1721852679245,p,l,QRP
1721852680542,m,d,Congruent angles
1721852680562,p,l,MRN
1721852681496,p,l,MRN
1721852687950,h,s,segment.PQ
1721852687968,h,s,segment.PQ
1721852687969,h,t,triangle.PQR
1721852688000,h,t,triangle.PQR
1721852688002,h,s,segment.QR
1721852688148,h,s,segment.QR
1721852691949,h,s,segment.QR
1721852691966,h,s,segment.QR
1721852691967,h,t,triangle.PQR
1721852691983,h,t,triangle.PQR
1721852695977,c,pr,s5
1721852697026,m,mi,
1721852697593,ml,mi,
1721852698527,h,s,segment.PR
1721852698560,h,s,segment.PR
1721852698562,h,t,triangle.PQR
1721852698578,h,t,triangle.PQR
1721852698581,h,s,segment.QR
1721852698599,h,s,segment.QR
1721852705916,h,s,segment.QR
1721852705933,h,s,segment.QR
1721852705934,h,s,segment.PQ
1721852706015,h,s,segment.PQ
1721852706017,h,t,triangle.PQR
1721852706212,h,t,triangle.PQR
1721852706231,h,s,segment.QR
1721852706246,h,s,segment.QR
1721852706495,h,s,segment.QR
1721852706512,h,s,segment.QR
1721852706515,h,s,segment.PR
1721852707441,h,s,segment.PR
1721852707443,h,s,segment.QR
1721852707759,h,s,segment.QR
1721852707761,h,t,triangle.PQR
1721852708143,h,t,triangle.PQR
1721852708144,h,s,segment.QR
1721852711894,h,s,segment.QR
1721852711912,h,t,triangle.PQR
1721852711967,h,t,triangle.PQR
1721852713228,c,pr,s6
1721852714911,m,mi,
1721852715179,ml,mi,
1721852715180,m,re,
1721852716130,ml,re,
1721852716379,h,s,segment.NR
1721852716413,h,s,segment.NR
1721852726909,m,d,Angle bisector
1721852726944,p,l,BD
1721852727195,p,l,ADB
1721852729658,p,l,BD
1721852730845,m,d,Angle bisector
1721852730928,p,l,ABC
1721852733393,p,l,D
1721852734862,p,l,AC
1721852742294,p,l,AC
1721852743262,p,l,ADB
1721852746360,m,d,Angle bisector
1721852747313,p,l,BD
1721852747694,m,d,Angle bisector
1721852751010,p,l,ADB
1721852752678,p,l,BD
1721852752713,m,d,Angle bisector
1721852752845,p,l,ABC
1721852753210,p,l,ABC
1721852756702,c,pr-r,s1
1721852758825,c,pr-r,s2
1721852763444,c,pr-r,s3
1721852765294,m,d,Perpendicular
1721852765345,p,l,BD
1721852765694,m,d,Perpendicular
1721852766179,p,l,AC
1721852767340,h,s,segment.AB
1721852767360,h,s,segment.AB
1721852767362,h,s,segment.AD
1721852767459,h,s,segment.AD
1721852767578,h,s,segment.CD
1721852767709,h,s,segment.CD
1721852767713,h,t,triangle.BCD
1721852767826,h,t,triangle.BCD
1721852767828,h,s,segment.BD
1721852767875,h,s,segment.BD
1721852767878,h,t,triangle.ABD
1721852767994,h,t,triangle.ABD
1721852767997,h,s,segment.BD
1721852768042,h,s,segment.BD
1721852768045,h,po,D
1721852768055,h,po,D
1721852768056,h,s,segment.CD
1721852768076,h,s,segment.CD
1721852768206,h,s,segment.CD
1721852768303,h,s,segment.CD
1721852768304,h,s,segment.BD
1721852768323,h,s,segment.BD
1721852768326,h,t,triangle.ABD
1721852768472,h,t,triangle.ABD
1721852768475,h,s,segment.AD
1721852768705,h,s,segment.AD
1721852768754,m,mi,
1721852768789,ml,mi,
1721852771101,c,pr-r,s4
1721852772775,h,s,segment.AB
1721852772793,h,s,segment.AB
1721852772796,h,t,triangle.ABD
1721852772841,h,t,triangle.ABD
1721852772845,h,s,segment.AD
1721852772860,h,s,segment.AD
1721852772994,h,s,segment.AD
1721852773027,h,s,segment.AD
1721852773030,h,s,segment.BD
1721852773045,h,s,segment.BD
1721852773048,h,po,D
1721852773059,h,po,D
1721852773062,h,t,triangle.BCD
1721852773109,h,t,triangle.BCD
1721852773110,h,s,segment.CD
1721852773895,h,s,segment.CD
1721852773899,h,t,triangle.BCD
1721852773961,h,t,triangle.BCD
1721852773963,h,po,D
1721852773992,h,po,D
1721852773995,h,s,segment.BD
1721852774043,h,s,segment.BD
1721852774262,h,s,segment.BD
1721852774293,h,s,segment.BD
1721852774295,h,s,segment.CD
1721852774326,h,s,segment.CD
1721852774360,h,po,D
1721852774742,h,po,D
1721852774779,h,s,segment.CD
1721852775142,h,s,segment.CD
1721852775147,h,s,segment.BD
1721852775162,h,s,segment.BD
1721852775165,h,s,segment.AD
1721852775211,h,s,segment.AD
1721852779373,m,mi,
1721852779706,ml,mi,
1721852779742,h,s,segment.AD
1721852779790,h,s,segment.AD
1721852779823,h,s,segment.CD
1721852779857,h,s,segment.CD
1721852779977,h,s,segment.CD
1721852780095,h,s,segment.CD
1721852780097,h,s,segment.BD
1721852780111,h,s,segment.BD
1721852780114,h,s,segment.AD
1721852780160,h,s,segment.AD
1721852780226,m,mi,
1721852780293,ml,mi,
1721852781760,c,pr-r,s5
1721852782792,p,l,BD
1721852782928,m,d,Congruent lines
1721852782975,p,l,BD
1721852783413,m,d,Congruent lines
1721852783828,p,l,BD
1721852785328,h,s,segment.AB
1721852785344,h,s,segment.AB
1721852785346,h,s,segment.BD
1721852785562,h,s,segment.BD
1721852785580,h,s,segment.BD
1721852785993,h,s,segment.BD
1721852785996,h,t,triangle.ABD
1721852786144,h,t,triangle.ABD
1721852786178,h,t,triangle.ABD
1721852786561,h,t,triangle.ABD
1721852786564,h,s,segment.AD
1721852786592,h,s,segment.AD
1721852786779,m,mi,
1721852786943,ml,mi,
1721852787768,c,pr-r,s6
1721852788772,p,l,ABD
1721852789298,p,l,CBD
1721852797465,c,pr-r,s7
1721852798727,p,l,DC
1721852799878,p,l,DC
1721852800144,p,l,AD
1721852803861,m,d,Congruent lines
1721852803885,p,l,DC
1721852804411,m,mi,
1721852804661,ml,mi,
1721852804665,m,re,
1721852806694,ml,re,
1721852807493,h,s,segment.CD
1721852807878,h,s,segment.CD
1721852808044,m,mi,
1721852808109,ml,mi,
1721852809654,c,pr-r,s8
1721852812457,p,l,AC
1721852812829,p,l,AC
1721852817848,h,s,segment.BC
1721852817964,h,s,segment.BC
1721852817967,h,s,segment.CD
1721852817982,h,s,segment.CD
1721852817984,h,po,C
1721852817999,h,po,C
1721852818308,m,re,
1721852819530,ml,re,
1721852819758,m,re,
1721852820342,ml,re,
1721852825201,c,pr,s4
1721852830828,m,mi,
1721852831128,ml,mi,
1721852831131,m,re,
1721852831195,ml,re,
1721852832012,m,re,
1721852838065,ml,re,
1721852838067,m,mi,
1721852838199,ml,mi,
1721852839083,c,pr,s3
1721852840622,c,pr,s4
1721852845176,c,pr,s3
1721852849577,c,pr,s4
1721852855345,c,pr,s3
1721852856609,m,mi,
1721852856958,ml,mi,
1721852857304,m,re,
1721852858526,ml,re,
1721852858676,h,s,segment.CD
1721852858796,h,s,segment.CD
1721852858798,h,t,triangle.BCD
1721852858863,h,t,triangle.BCD
1721852858866,h,s,segment.BC
1721852858897,h,s,segment.BC
1721853079499,c,sr,Converse of Alternate Interior Angles
1721853361798,n,i,
1721853456967,c,sr,SAS Triangle Congruence
1721853496358,c,sr,CPCTC
1721853558101,n,i,
